frame,landmark_index,x,y,z,visibility,movement
1,0,0.4711897671222687,0.1187871992588043,0.1986088454723358,0.999944269657135,girar
1,11,0.3954347372055053,0.2537288665771484,-0.0035664101596921,0.9999416470527648,girar
1,12,0.5295382142066956,0.2481128573417663,0.0262666996568441,0.9998851418495178,girar
1,23,0.429303765296936,0.6079854965209961,-0.04026785120368,0.9992706179618835,girar
1,24,0.509512186050415,0.5983685255050659,0.0396951399743557,0.9988628029823304,girar
1,25,0.4235708117485046,0.8573999404907227,-0.0525695048272609,0.8328271508216858,girar
1,26,0.5004887580871582,0.8475900888442993,0.0533051863312721,0.7106838226318359,girar
2,0,0.4695767164230346,0.1193839311599731,0.0650928989052772,0.9999188780784608,girar
2,11,0.3949398100376129,0.253144770860672,-0.1725373566150665,0.999937117099762,girar
2,12,0.5301600098609924,0.2471036612987518,-0.100709244608879,0.9998849630355836,girar
2,23,0.4278930723667145,0.6114948987960815,-0.0406711883842945,0.999325156211853,girar
2,24,0.5093029141426086,0.6058626174926758,0.0401390977203846,0.9989443421363832,girar
2,25,0.4235514402389526,0.870958149433136,-0.0542584247887134,0.8132206201553345,girar
2,26,0.4979052543640136,0.8603239059448242,0.0638245642185211,0.6678940057754517,girar
3,0,0.4680236577987671,0.1192853152751922,0.1247796565294265,0.9998868703842164,girar
3,11,0.394573301076889,0.2529038488864898,-0.1211568415164947,0.9999281764030457,girar
3,12,0.5304784774780273,0.2464576959609985,-0.057970467954874,0.999877393245697,girar
3,23,0.4270442426204681,0.6175163984298706,-0.0405954271554946,0.9993534088134766,girar
3,24,0.5087573528289795,0.6134932637214661,0.040080152451992,0.9989756941795348,girar
3,25,0.4213410913944244,0.8911843299865723,-0.0719565525650978,0.8114365339279175,girar
3,26,0.4979743063449859,0.8704043626785278,0.0514902435243129,0.6377586126327515,girar
4,0,0.4669580161571502,0.118615835905075,0.1094572693109512,0.9998248219490052,girar
4,11,0.3941106796264648,0.2516897022724151,-0.1464981585741043,0.999914288520813,girar
4,12,0.5306330919265747,0.2456298768520355,-0.0764180123805999,0.9998668432235718,girar
4,23,0.4260797202587127,0.618912935256958,-0.0410151071846485,0.9993480443954468,girar
4,24,0.5077376365661621,0.6149773001670837,0.0405437871813774,0.9989544749259948,girar
4,25,0.4205851852893829,0.8980761766433716,-0.0822102651000022,0.807733952999115,girar
4,26,0.4979831874370575,0.8776415586471558,0.0293594002723693,0.6074039936065674,girar
5,0,0.4669374823570251,0.1179747581481933,0.1105289012193679,0.9998122453689576,girar
5,11,0.3938684463500976,0.2506609559059143,-0.1117646321654319,0.999912977218628,girar
5,12,0.5309213399887085,0.2451579123735427,-0.0498910881578922,0.9998664259910583,girar
5,23,0.4256042838096618,0.6190037727355957,-0.0417808182537555,0.999384105205536,girar
